hexID,LAT,LON,N,K,R
10508,64.907889934723,-164.249988540844,3583,4,315
10509,65.7738918947126,-164.249988540845,692,3,397
10510,66.6398923079334,-164.249988540845,567,3,202
10511,67.5058910070467,-164.249988540844,128,3,66
10512,68.3718877976442,-164.249988540845,10,1,9
10659,54.9487908027571,-163.999988540844,98,3,57
10665,60.1448571244343,-163.999988540844,2738,3,73
10666,61.010865446113,-163.999988540844,842,2,240
10667,61.8768728219864,-163.999988540844,354,2,54
10668,62.7428791721415,-163.999988540845,5955,3,118
10670,64.4748884207134,-163.999988540844,3230,4,246
10671,65.3408910985324,-163.999988540845,283,4,181
10672,66.2068923045518,-163.999988540845,889,3,449
